2G Site ID,Region,Latitude,Longitude,Final DG,Guarded/Unguarded
S-7614,South III,29.90445,66.96164,DG,Guarded
N-4299,North II,33.93735,71.47526,DG,Guarded
N-5947,Central II,32.229,69.6723,Non DG,Un Guarded
N-5315,Central II,32.512132,69.818216,Non DG,Un Guarded
7774,Central I,32.52985,74.543,DG,Guarded
N-5187,Central II,32.31246,69.54207,Non DG,Un Guarded
N-5312,North II,33.14088,70.36513,Non DG,Un Guarded
4220,Central II,31.27262,72.31908,DG,Un Guarded
2660,North I,32.85749,72.56949,Non DG,Un Guarded
N-5198,North II,32.97657,69.95501,Non DG,Un Guarded
4930,Central II,31.67338,73.29007,DG,Guarded
3452,Central I,32.48028,74.35949,Non DG,Un Guarded
3420,Central I,32.50701,74.55106,DG,Guarded
6523,South I,25.04725,66.88934,DG,Guarded
N-5570,North II,34.15664,71.2537,Non DG,Un Guarded
8751,North I,34.45217,73.49479,DG,Guarded
3752,Central I,32.38327,74.42286,DG,Guarded
1001,South I,24.848027778,67.0055,DG,Un Guarded
2684,North I,33.67472,72.6962,Non DG,Un Guarded
5785,Central III,30.44204,70.72951,Non DG,Un Guarded
4558,Central II,30.74527,73.81767,DG,Guarded
CI-1557,Central I,31.552,74.3132,Non DG,Un Guarded
N-4008,North II,32.88069,70.68264,DG,Guarded
6512,South III,30.16893,66.98367,DG,Guarded
8083,North I,33.56207,73.06808,Non DG,Un Guarded
S-7207,South III,25.2906,61.86172,Non DG,Un Guarded
9812,South II,25.37598,68.39459,DG,Guarded
3459,Central I,32.48091,74.36475,DG,Guarded
7945,Central I,32.53468,73.63232,Non DG,Guarded
6266,South I,24.8295,67.1296,Non DG,Un Guarded
1738,South II,24.48408,68.98548,Non DG,Un Guarded
S-7206,South III,25.261838,62.029534,Non DG,Un Guarded
2616,North I,32.76062,72.72647,Non DG,Un Guarded
5064,Central III,30.18005,72.22042,Non DG,Guarded
1813,South III,29.35595,64.69918,DG,Un Guarded
S-3390,South III,30.17392,66.95291,Non DG,Guarded
5121,Central III,30.46273,72.35763,Non DG,Un Guarded
HKHIBSC01,South I,24.8652797269,67.0646306679,Non DG,Un Guarded
9524,South I,24.87325,67.36665,DG,Guarded
7709,Central I,32.28273,74.71744,Non DG,Guarded
5865,Central III,30.06548,70.63714,Non DG,Un Guarded
N-4448,North II,32.97026,70.62715,Non DG,Un Guarded
9960,South II,26.66033,67.37482,DG,Un Guarded
7706,Central I,32.22561,74.91907,DG,Guarded
7401,Central I,31.26154,74.1457,Non DG,Un Guarded
CI-1402,Central I,31.54366,74.29527,Non DG,Un Guarded
4474,Central III,29.68317,71.85943,DG,Guarded
6061,South I,24.96903,67.07324,Non DG,Un Guarded
9546,South I,24.830279,66.970546,Non DG,Un Guarded
S-7181,South III,25.6875,66.465,Non DG,Un Guarded
N-5580,North II,33.78001,71.38374,Non DG,Un Guarded
N-4951,North II,34.03081,71.54263,DG,Guarded
9279,South I,24.84141,67.13151,Non DG,Guarded
4978,Central III,30.0348,70.6299,Non DG,Un Guarded
N-5573,North II,33.89889,71.16982,Non DG,Un Guarded
2944,North II,33.84213,71.87138,DG,Guarded
N-5586,North II,33.902,71.25023,Non DG,Un Guarded
3390,Central I,32.59631,74.0743,DG,Guarded
S-7220,South III,25.71765,66.60598,Non DG,Un Guarded
S-7201,South III,25.315112,63.021419,Non DG,Un Guarded
CII-2698,Central III,30.01222,70.71071,DG,Guarded
3302,Central I,32.17674,74.18344,Non DG,Guarded
S-7219,South III,25.46545,66.67754,Non DG,Un Guarded
S-7218,South III,25.33064,66.67937,Non DG,Un Guarded
N-5606,North II,33.8476,71.2361,Non DG,Un Guarded
CII-2796,Central III,29.99146,70.65134,Non DG,Un Guarded
N-5106,North II,34.5035,71.2823,Non DG,Un Guarded
N-5589,North II,33.59035,71.10535,Non DG,Un Guarded
N-5612,North II,33.6228,71.6811,Non DG,Un Guarded
1888,South I,24.82561,67.07081,Non DG,Un Guarded
S-7188,South III,25.30756,64.51444,Non DG,Un Guarded
S-7187,South III,25.30115,64.65507,Non DG,Un Guarded
1089,South I,24.852194444,67.034722222,DG,Guarded
6557,South I,24.91344,67.06174,Non DG,Un Guarded
S-7127,South III,30.17021,66.99055,Non DG,Un Guarded
S-3808,South III,30.18109,69.97534,DG,Guarded
S-7216,South I,25.067631,66.836995,Non DG,Un Guarded
N-4952,North II,34.18616,71.58495,DG,Guarded
S-7210,South III,25.507918,66.08157,Non DG,Un Guarded
4512,Central II,30.82067,73.45094,Non DG,Un Guarded
S-7203,South III,25.587302,66.147831,Non DG,Un Guarded
N-5562,North II,33.98603,71.15767,Non DG,Un Guarded
9953,South II,26.46357,67.7781,DG,Guarded
N-5630,North II,33.99339,71.21419,Non DG,Un Guarded
S-7217,South I,25.13897,66.77288,Non DG,Un Guarded
9868,South I,24.84319,66.81337,Non DG,Un Guarded
N-5631,North II,34.20403,71.23179,Non DG,Un Guarded
1068,South I,24.913694444,66.972277778,DG,Guarded
N-5587,North II,33.88697,71.3007,Non DG,Un Guarded
N-5165,North II,34.22734,71.3357,Non DG,Un Guarded
4296,Central III,30.57016,70.93953,DG,Guarded
N-5609,North II,33.66323,71.51391,Non DG,Un Guarded
N-5190,Central II,32.37685,69.47873,Non DG,Un Guarded
3743,Central I,31.84235,74.26672,DG,Guarded
CI-1169,Central I,32.03884,74.14328,Non DG,Un Guarded
LHR_ZTE DWDM NE-309-310,Central I,31.51768904,74.34859344,Non DG,Un Guarded
LHR_HUAWEI OPTIX OSN-7500 NE-1007,Central I,31.51768904,74.34859344,Non DG,Un Guarded
LHR_ZTE DWDM NE-301-308,Central I,31.51768904,74.34859344,Non DG,Un Guarded
N-5184,Central II,32.25689,69.45528,Non DG,Un Guarded
LHR_NE-40 X3 A1/A2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
N-5117,Central II,32.3222,69.48591,Non DG,Un Guarded
LHR_PE NE 40 X8 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
3114,Central I,31.65064,74.275,Non DG,Un Guarded
N-5178,North II,33.74496,70.8274,Non DG,Un Guarded
5376,Central II,31.2699,73.01395,DG,Guarded
CI-1647,Central I,31.38967,74.32446,Non DG,Guarded
N-5581,North II,33.6784,71.651,Non DG,Un Guarded
LHR_HUAWEI OPTIX  NE 8089,Central I,31.51768904,74.34859344,Non DG,Un Guarded
LHR_NE 40 X-16 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
CI-1693,Central I,32.13974,74.21008,Non DG,Un Guarded
N-5608,North II,33.64215,71.49864,Non DG,Un Guarded
LHR_HUAWEI OPTIX OSN-3500 NE 10-917,Central I,31.51768904,74.34859344,Non DG,Un Guarded
1207,South II,27.717780556,68.84361111,DG,Guarded
N-5112,North II,33.75046,70.9645,Non DG,Un Guarded
LHR S9312 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
N-5111,North II,33.73043,70.87027,Non DG,Un Guarded
7635,Central I,31.19605,74.32183,DG,Un Guarded
7530,Central I,31.58139,74.31368,Non DG,Un Guarded
LHR_S9303 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
N-5572,North II,33.89457,70.98199,Non DG,Un Guarded
N-5171,North II,33.67417,71.0199,Non DG,Un Guarded
LHR-IUB S9306 B3/B4,Central I,31.51768904,74.34859344,Non DG,Un Guarded
LHR_HUAWEI OPTIX OSN-3501 NE 2-3008,Central I,31.51768904,74.34859344,Non DG,Un Guarded
9141,South I,24.96505,67.05475,DG,Un Guarded
LHR_RNC S9303 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
LHR_NE 40 X8 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
3297,Central I,31.46243,74.34963,Non DG,Un Guarded
LHR_IUB S9303 B1/B2,Central I,31.51768904,74.34859344,Non DG,Un Guarded
6042,South I,24.87893,67.16061,Non DG,Un Guarded
LHR_HUAWEI OPTIX OSN-7500 NE-1025,Central I,31.51768904,74.34859344,Non DG,Un Guarded
6152,South I,24.92373,67.13675,Non DG,Un Guarded
2038,North I,33.61317,73.06617,DG,Guarded
1505,Central III,28.41335,70.30718,DG,Guarded
8669,North II,34.00226,71.56626,Non DG,Un Guarded
3723,Central I,32.45962,74.18166,Non DG,Un Guarded
2308,North II,33.59971,71.4413,DG,Guarded
1155,South I,24.74468,67.92568,DG,Guarded
3929,Central I,32.14976,74.20064,Non DG,Un Guarded
CII-2163,Central II,30.55867,72.52877,DG,Guarded
5407,Central II,31.98509,73.01976,DG,Guarded
4792,Central II,30.73189,72.64578,Non DG,Un Guarded
9034,South I,24.85903,67.01796,DG,Guarded
7082,Central I,31.54121,74.31399,Non DG,Guarded
KHIRNC01,South I,24.8652797269,67.0646306679,Non DG,Un Guarded
6626,North I,33.57849,73.97994,DG,Guarded
9233,South I,24.95583,67.072032,DG,Un Guarded
9951,South II,28.13802,69.08545,DG,Un Guarded
3014,Central I,31.46234,74.29225,DG,Guarded
8378,North I,33.66505,73.04173,Non DG,Un Guarded
CII-2187,Central II,31.25569,73.44616,DG,Guarded
7174,Central I,31.47225,74.23928,DG,Guarded
8968,North I,33.36879,73.65963,DG,Guarded
3009,Central I,31.58795,74.34211,DG,Un Guarded
1926,South I,25.04269,67.45457,Non DG,Un Guarded
N-4279,North II,34.48565,72.46666,Non DG,Un Guarded
5126,Central II,31.84678,70.8986,DG,Guarded
5144,Central III,29.448154,70.488622,DG,Guarded
2799,North I,34.61302,73.12202,DG,Guarded
S-3339,South I,24.82237,67.06099,Non DG,Un Guarded
N-4469,North II,34.01905,72.07986,Non DG,Un Guarded
7182,Central I,31.35306,74.12429,DG,Guarded
4100,Central III,30.19251,71.51833,DG,Guarded
4972,Central III,30.03445,70.62667,DG,Guarded
2362,North II,34.2009,71.53115,DG,Guarded
3621,Central I,32.80942,73.87359,DG,Guarded
4039,Central II,31.39655,73.09225,DG,Guarded
N-4764,North II,32.84845,70.61292,DG,Guarded
2305,North II,33.52374,71.55827,DG,Guarded
3240,Central I,31.58133,74.3122,Non DG,Un Guarded
5786,Central III,30.07339,71.19445,Non DG,Un Guarded
5415,Central II,32.35049,72.61694,Non DG,Un Guarded
9236,South I,24.85824,67.40137,DG,Guarded
9252,South I,24.95039,67.1065,Non DG,Un Guarded
3705,North I,32.90644,73.75294,DG,Guarded
9214,South I,24.90854,67.05047,DG,Un Guarded
3292,Central I,31.46214,74.30984,Non DG,Un Guarded
6140,South II,25.12927,68.54633,DG,Guarded
S-3792,South III,27.85603,63.67203,DG,Guarded
5179,Central II,32.67445,71.85202,DG,Guarded
6515,South III,30.16704,67.00662,Non DG,Un Guarded
2847,North II,34.31703,72.51244,Non DG,Un Guarded
6216,South I,24.7796,67.05466,Non DG,Un Guarded
3G-CII-3380,Central III,28.40616,70.27647,Non DG,Un Guarded
CII-2573,Central II,31.64652,71.0715,Non DG,Un Guarded
2392,North II,34.77318,72.35693,DG,Guarded
5616,Central II,32.09658,72.70489,Non DG,Un Guarded
N-4916,North I,33.23938,71.86393,Non DG,Un Guarded
S-7865,South III,25.73944,67.32983,DG,Guarded
S-3920,South III,25.611406,66.746884,DG,Guarded
N-5230,North I,33.55757,73.15183,Non DG,Un Guarded
N-5247,North I,33.64663,73.03653,Non DG,Un Guarded
CI-1931,Central I,32.56983,74.06029,Non DG,Un Guarded
N-5840,North I,33.66414,72.91329,Non DG,Un Guarded
9428,South I,24.88242,67.09185,Non DG,Un Guarded
2459,North II,34.12195,71.61282,DG,Guarded
2280,North I,32.93887,72.27027,DG,Guarded
4776,Central II,31.74829,72.93107,DG,Guarded
S-7316,South I,25.03809,67.14921,Non DG,Un Guarded
6367,South I,24.84245,67.11717,Non DG,Un Guarded
2054,North I,33.68029,73.03332,DG,Guarded
8232,North I,33.58019,73.01606,DG,Guarded
S-3543,South III,30.92959,67.99913,DG,Guarded
4338,Central II,32.42597,71.46734,DG,Guarded
CI-1125,Central I,31.29632,74.208,Non DG,Un Guarded
S-3442,South I,24.96712,67.14491,Non DG,Un Guarded
N-4016,North I,33.65411,73.09178,Non DG,Un Guarded
5314,Central II,30.49162,73.23678,DG,Guarded
CI-1937,Central I,31.40419,74.36321,Non DG,Un Guarded
CI-1105,Central I,31.44856,74.38763,Non DG,Un Guarded
1343,South II,25.12697,68.54005,Non DG,Un Guarded
5480,Central III,30.009639,73.089417,Non DG,Un Guarded
6294,South II,25.4432,68.29342,Non DG,Un Guarded
3935,Central I,32.155289,74.191528,Non DG,Un Guarded
8767,North I,33.88228,73.76427,DG,Guarded
8668,North II,33.99462,71.45157,DG,Guarded
CI-1346,Central I,32.63765,74.51359,Non DG,Un Guarded
9809,South II,25.38809,68.37627,DG,Guarded
6502,South I,24.73951,67.89358,Non DG,Un Guarded
7539,Central I,31.58439,74.3229,Non DG,Un Guarded
6598,South II,27.56177,68.22012,Non DG,Un Guarded
N-4768,North II,32.85415,70.68353,DG,Guarded
3G-CI-4127,Central I,31.4621,74.2683,Non DG,Un Guarded
2723,North I,33.90656,73.39353,DG,Guarded
4836,Central III,29.04458,70.33521,Non DG,Un Guarded
8787,North I,33.82755,73.6645,DG,Guarded
9580,South I,24.82741,67.0505,Non DG,Un Guarded
4368,Central II,32.32849,71.91074,Non DG,Un Guarded
CII-2226,Central III,29.227028,72.420611,Non DG,Un Guarded
9424,South I,24.86769,67.04752,DG,Guarded
N-4885,North II,33.97523,71.58236,Non DG,Un Guarded
CII-2849,Central II,32.07788,70.49081,Non DG,Un Guarded
4820,Central II,30.61787,72.89463,Non DG,Un Guarded
3024,Central I,31.51878,74.29128,DG,Un Guarded
4090,Central II,31.44429,73.14325,DG,Guarded
2132,North II,33.9901,71.46744,DG,Guarded
2560,North I,33.64722,73.51919,DG,Guarded
1355,South III,30.68778,66.71213,DG,Guarded
3G-CI-1550,Central I,31.260562,74.148326,Non DG,Un Guarded
5625,Central II,31.90359,72.87193,Non DG,Un Guarded
6100,South II,27.69291,68.8649,Non DG,Un Guarded
2049,North I,33.60313,73.00545,DG,Guarded
4608,Central III,29.38566,71.68815,DG,Guarded
N-4021,North II,33.01067,70.53875,DG,Guarded
CII-2702,Central III,30.18246,71.42648,DG,Un Guarded
5318,Central III,29.3943,71.727,Non DG,Un Guarded
3318,Central I,32.17985,74.19262,DG,Guarded
9128,South I,24.90685,67.11981,Non DG,Guarded
9589,South I,24.86467,67.02359,Non DG,Un Guarded
8472,North II,34.14301,72.07819,DG,Guarded
2247,North I,33.02735,73.60563,Non DG,Un Guarded
1044,South I,24.915388889,67.027083333,Non DG,Un Guarded
N-4814,North II,35.23019,71.86151,Non DG,Un Guarded
8653,North II,34.11328,72.69072,DG,Guarded
3430,Central I,32.5067,74.50449,DG,Guarded
8511,North II,34.167664,72.031446,Non DG,Un Guarded
CI-1095,Central I,31.97364,74.21763,DG,Un Guarded
8349,North II,33.99664,71.53684,Non DG,Un Guarded
2769,North I,35.11246,73.00522,DG,Guarded
1182,South II,24.66857,68.83253,DG,Guarded
1523,Central III,28.31038,70.12904,Non DG,Un Guarded
5152,Central II,31.85718,70.913,DG,Guarded
1576,South II,27.58933,67.99787,Non DG,Un Guarded
4509,Central II,30.82659,73.74066,Non DG,Un Guarded
7459,Central I,31.55197,74.33865,Non DG,Un Guarded
7091,Central I,31.51297,74.29501,Non DG,Guarded
6386,South I,24.82612,67.21962,DG,Guarded
9173,South I,24.89681,67.17154,Non DG,Guarded
4709,Central II,32.09201,72.66356,DG,Un Guarded
S-3560,South III,30.68817,68.10876,DG,Guarded
2662,Central II,32.12159,70.15367,DG,Un Guarded
1209,South II,27.73511,68.81904,DG,Guarded
6613,North II,33.1266,71.27148,DG,Guarded
S-4126,South I,24.915615,67.07287,Non DG,Un Guarded
9483,South I,24.8444,67.21776,Non DG,Un Guarded
1178,South II,28.242976,68.772092,DG,Guarded
1776,South II,25.116721,70.246258,DG,Guarded
8897,North I,33.48502,73.89057,DG,Guarded
CII-2040,Central II,32.10528,72.66641,Non DG,Un Guarded
1836,South III,28.91547,64.4163,DG,Guarded
4455,Central III,29.23933,71.06002,DG,Un Guarded
7177,Central I,31.51991,74.25907,DG,Guarded
2569,North I,32.98498,73.83846,DG,Guarded
7930,Central I,32.70418,73.88214,DG,Guarded
CII-2023,Central III,30.21277,71.51076,Non DG,Guarded
9412,South I,24.95273,67.07757,DG,Guarded
1392,South III,30.17337,67.00403,DG,Guarded
S-3150,South I,24.8632,67.28227,DG,Guarded
6288,South II,25.3911,68.3336,Non DG,Un Guarded
7449,Central I,31.563949,74.318013,Non DG,Un Guarded
5226,Central III,29.67521,73.18116,DG,Guarded
2058,North I,33.60379,73.07173,DG,Un Guarded
1553,South II,26.03916,68.95744,DG,Guarded
3267,Central I,32.07766,74.20152,Non DG,Un Guarded
1527,South II,26.57287,67.971,DG,Guarded
2217,North I,33.01206,73.74809,DG,Guarded
1128,South II,25.43258,68.28054,DG,Guarded
2287,North I,32.60635,73.14938,DG,Un Guarded
8096,North I,33.74772,73.18315,Non DG,Guarded
6695,North II,34.00557,71.79166,Non DG,Un Guarded
9258,South I,24.87903,67.0878,Non DG,Un Guarded
3477,Central I,32.34264,74.35367,DG,Guarded
2766,North I,33.14748,73.74875,Non DG,Un Guarded
8005,North I,33.58232,73.06971,DG,Guarded
9813,South II,25.3794,68.3665,Non DG,Un Guarded
S-3389,South III,30.18251,67.00846,Non DG,Un Guarded
8606,North I,33.94459,72.42306,Non DG,Un Guarded
N-5408,North II,33.9722,71.4162,Non DG,Un Guarded
5287,Central III,30.29416,72.86458,DG,Guarded
1968,South II,27.28828,67.94704,DG,Guarded
N-4113,North I,33.79009,72.71965,Non DG,Un Guarded
3182,Central I,31.59994,74.37306,Non DG,Un Guarded
CII-2657,Central III,30.12701,72.68676,Non DG,Un Guarded
9011,South I,24.89472,67.07162,DG,Guarded
9935,South II,25.93681,68.72501,Non DG,Guarded
S-3630,South III,29.13024,66.46358,DG,Guarded
7346,Central I,31.4248,74.35347,Non DG,Un Guarded
2813,North I,33.93424,72.85755,DG,Guarded
2103,North II,33.97944,71.44583,Non DG,Un Guarded
8686,North II,33.86485,71.7689,Non DG,Un Guarded
5320,Central III,29.41325,71.67444,Non DG,Un Guarded
S-3249,South III,30.57786,67.01837,Non DG,Guarded
9380,South I,24.94938,67.04117,DG,Guarded
6667,North I,32.94082,73.73167,DG,Guarded
UKTR34,South III,28.06248,66.18616,DG,Guarded
2129,North II,33.91729,71.45924,DG,Guarded
N-4139,North II,34.24391,71.5014,Non DG,Un Guarded
9434,South I,24.92947,67.03767,Non DG,Un Guarded
4791,Central II,30.85415,72.55389,DG,Un Guarded
6262,South I,24.9705,67.05552,Non DG,Un Guarded
N-5526,North II,33.8926,71.48955,Non DG,Un Guarded
N-5087,North II,33.88192,71.645,Non DG,Un Guarded
7044,Central I,31.44574,74.27722,DG,Guarded
S-3136,South III,26.01369,63.0129,Non DG,Un Guarded
N-5486,North II,34.0387079,71.612107,Non DG,Un Guarded
N-5088,North II,33.94289,71.55078,Non DG,Un Guarded
N-4003,North II,32.90366,70.53491,DG,Guarded
6389,South I,24.91342,67.06981,Non DG,Un Guarded
6082,South I,24.9055,67.12136,Non DG,Un Guarded
9407,South I,24.82148,67.1347,Non DG,Guarded
3G-S-4468,South I,24.83642,67.105672,Non DG,Un Guarded
2265,North I,33.62307,73.04316,Non DG,Un Guarded
N-5328,North I,33.6406,73.09399,Non DG,Un Guarded
N-5246,North I,33.5475033,73.00286,Non DG,Un Guarded
S-7044,South II,27.85176,67.91915,DG,Guarded
N-4547,North I,33.74137,72.80511,Non DG,Un Guarded
CII-2143,Central III,28.51214,70.24514,DG,Un Guarded
3369,Central I,31.97363,74.22795,DG,Guarded
N-5367,North II,33.9499,71.53728,Non DG,Un Guarded
9096,South I,24.87329,66.97403,Non DG,Un Guarded
6398,South I,24.82933,67.15161,Non DG,Un Guarded
3G-CI-4866,Central I,32.51094,74.49979,Non DG,Un Guarded
4888,Central III,29.64508,70.59278,Non DG,Un Guarded
4741,Central II,31.06898,73.08101,DG,Guarded
7122,Central I,31.44619,74.31059,Non DG,Guarded
5749,Central III,30.04004,71.82565,DG,Guarded
3632,Central I,32.6068,73.96223,DG,Guarded
8864,North I,33.55576,73.11797,Non DG,Un Guarded
HKNWBSC02,Central III,30.303232,71.921766,DG,Un Guarded
1665,South II,27.60419,68.78764,DG,Guarded
5334,Central III,30.13145,73.60013,DG,Guarded
8655,North II,34.04647,71.89965,Non DG,Un Guarded
7830,Central I,32.53052,74.27431,DG,Guarded
6007,South I,24.88278,67.13128,Non DG,Un Guarded
N-4125,North I,33.57926,72.22252,DG,Guarded
4256,Central III,30.57571,72.03656,Non DG,Un Guarded
2825,North I,33.78465,72.73052,DG,Un Guarded
7886,Central I,32.87769,74.0429,Non DG,Un Guarded
1504,Central III,28.41311,70.29361,DG,Un Guarded
2565,North I,32.727779,72.88891,DG,Guarded
6719,North I,32.92421,72.39086,DG,Guarded
8917,North I,34.44926,73.55493,DG,Guarded
9315,South I,24.90969,66.98028,Non DG,Guarded
8256,North I,33.61038,72.9892,Non DG,Un Guarded
5549,Central II,30.61452,73.76328,DG,Guarded
5843,Central III,30.1994721,71.4792944,Non DG,Un Guarded
S-3176,South III,27.8185,66.62077,DG,Guarded
6603,North II,32.98032,70.60619,DG,Guarded
N-4898,North II,34.75763,72.38555,Non DG,Un Guarded
2740,North I,33.964017,73.463556,DG,Guarded
CI-1081,Central I,32.11881,74.19245,Non DG,Un Guarded
3388,Central I,31.52281,74.278,Non DG,Un Guarded
9303,South I,24.88558,67.06192,Non DG,Un Guarded
2965,North II,34.18658,71.91076,DG,Guarded
S-3199,South II,25.51935,69.00872,DG,Guarded
3310,Central I,32.09286,74.18513,DG,Un Guarded
5613,Central II,32.078,72.669,Non DG,Un Guarded
8388,North I,33.73227,73.08698,Non DG,Un Guarded
5565,Central I,30.9818,74.26949,DG,Un Guarded
2175,North II,33.98348,71.54786,Non DG,Guarded
4867,Central III,29.14463,71.2505,Non DG,Un Guarded
3604,Central I,32.59362,74.08002,Non DG,Un Guarded
CI-1187,Central I,32.23011,74.31037,Non DG,Un Guarded
8475,North I,33.77674,72.32611,DG,Guarded
CII-2653,Central III,29.81897,72.14925,Non DG,Guarded
7434,Central I,31.50972,74.34207,Non DG,Un Guarded
CI-1660,Central I,31.45691,74.3169,Non DG,Un Guarded
8426,North I,33.68165,72.98623,Non DG,Un Guarded
S-7539,South III,30.232,68.5994,DG,Guarded
7314,Central I,31.42831,74.30276,Non DG,Un Guarded
N-4372,North II,33.97013,71.62399,Non DG,Un Guarded
N-4111,North II,32.97607,70.63859,Non DG,Un Guarded
N-5761,North II,33.36536,70.55585,Non DG,Un Guarded
N-4325,North II,34.13439,72.02314,Non DG,Un Guarded
N-4582,North II,33.72778,71.55129,Non DG,Un Guarded
N-4367,North II,33.9608,71.576,Non DG,Un Guarded
S-7492,South III,30.501,69.0419,DG,Guarded
N-4786,North II,34.34389,71.6463,Non DG,Un Guarded
N-5549,North II,33.92241,71.05862,Non DG,Un Guarded
N-4834,North II,34.08973,71.38757,Non DG,Un Guarded
N-4297,North II,33.87345,71.4054,Non DG,Un Guarded
N-4573,North II,33.00969,70.87893,Non DG,Un Guarded
7296,Central I,31.4811,74.3871,Non DG,Un Guarded
9917,South II,25.35644,69.72958,Non DG,Un Guarded
3374,Central I,32.0142,74.21944,DG,Guarded
2603,North I,33.07487,72.5954,DG,Un Guarded
7680,Central I,31.4907,73.99286,DG,Guarded
2633,North I,34.5913,73.3529,Non DG,Guarded
N-4360,North II,34.06615,71.63398,Non DG,Un Guarded
N-4669,North II,34.17892,72.02652,Non DG,Un Guarded
N-4570,North II,32.96326,70.92959,Non DG,Un Guarded
N-4316,North II,33.90228,71.38093,Non DG,Un Guarded
N-4686,North II,34.04807,71.54506,Non DG,Un Guarded
N-4306,North II,33.9138,71.4128,Non DG,Un Guarded
5602,Central III,30.55207,72.12923,DG,Guarded
N-4341,North II,33.945847,72.220613,Non DG,Un Guarded
N-4332,North II,34.04372,71.72226,Non DG,Un Guarded
N-4259,North II,34.32278,71.7007,Non DG,Un Guarded
3187,Central I,31.54998,74.31821,Non DG,Un Guarded
3444,Central I,32.34329,74.9068,DG,Guarded
N-4749,North II,34.06215,71.52248,Non DG,Un Guarded
N-4392,North II,34.14962,72.44248,Non DG,Un Guarded
N-4886,North II,34.0383,71.58149,Non DG,Un Guarded
N-4581,North II,32.98262,71.05791,Non DG,Un Guarded
N-4319,North II,33.48437,71.44843,Non DG,Un Guarded
N-4261,North II,34.14992,71.72509,Non DG,Un Guarded
N-4241,North II,33.09421,70.77348,Non DG,Un Guarded
S-4046,South III,31.25524,69.94195,Non DG,Guarded
S-4006,South III,31.68923,69.76902,Non DG,Guarded
S-4020,South III,30.84037,69.75059,DG,Guarded
S-4054,South III,30.176481,67.851682,Non DG,Guarded
S-4018,South III,30.86565,70.13578,Non DG,Guarded
N-4389,North II,33.97113,71.68119,Non DG,Un Guarded
N-4692,North II,33.88105,71.56251,Non DG,Un Guarded
S-4870,South I,24.83707,67.033885,Non DG,Un Guarded
N-4688,North II,34.04922,71.56435,Non DG,Un Guarded
N-4262,North II,34.15657,71.77593,Non DG,Un Guarded
N-4387,North II,33.96666,71.65004,Non DG,Un Guarded
N-4772,North II,33.83549,71.53557,Non DG,Un Guarded
N-4685,North II,34.09004,71.52619,Non DG,Un Guarded
N-4803,North II,34.4467,71.57184,Non DG,Un Guarded
S-3936,South III,30.65435,67.98092,Non DG,Guarded
S-4021,South III,30.8781,69.9431,Non DG,Guarded
1237,South II,28.05731,67.98114,DG,Guarded
S-7428,South III,30.366,68.89401,Non DG,Guarded
N-4263,North II,34.3889,71.75289,Non DG,Un Guarded
N-4888,North II,34.04314,71.59079,Non DG,Un Guarded
N-3848,North I,33.70836,73.015292,Non DG,Un Guarded
N-4268,North II,34.35049,71.72249,Non DG,Un Guarded
3456,Central I,32.49976,74.55826,DG,Un Guarded
7712,Central I,32.2659,74.32339,DG,Guarded
N-4698,North II,34.23441,72.04375,Non DG,Un Guarded
BSC Bahawalnagar,Central III,29.9997127,73.2578294,DG,Un Guarded
N-3877,North I,33.709293,73.016005,Non DG,Un Guarded
S-3844,South II,25.35985,68.34315,Non DG,Un Guarded
N-4415,North I,34.41197,73.23275,Non DG,Un Guarded
3033,Central I,31.48992,74.26264,DG,Guarded
3618,Central I,32.5763,74.09439,DG,Un Guarded
7609,Central I,31.43517,74.36052,Non DG,Un Guarded
3010,Central I,31.57865,74.37079,DG,Un Guarded
7317,Central I,31.4257,74.2522,Non DG,Un Guarded
S-3887,South III,25.939038,66.691484,DG,Guarded
7899,Central I,32.79903,73.79882,DG,Guarded
CII-2665,Central II,32.08394,72.68756,DG,Un Guarded
S-3725,South III,27.54371,66.37907,DG,Guarded
CI-1099,Central I,31.11309,74.43992,Non DG,Un Guarded
9125,South I,24.88669,67.03323,DG,Guarded
7252,Central I,31.59632,74.3799,Non DG,Un Guarded
CI-1148,Central I,32.43106,73.57396,DG,Guarded
4571,Central III,30.16102,72.68909,DG,Un Guarded
9898,South II,24.58706,70.67753,DG,Guarded
CII-2267,Central III,29.64053,70.59903,Non DG,Un Guarded
2858,North I,34.41734,73.31482,Non DG,Un Guarded
9561,South I,24.84295,67.06422,Non DG,Un Guarded
7756,Central I,32.46199,74.51697,DG,Un Guarded
8453,North I,33.74939,73.16469,Non DG,Un Guarded
8874,North II,34.01258,71.61085,Non DG,Un Guarded
7360,Central I,31.58217,74.31848,Non DG,Un Guarded
3049,Central I,31.55413,74.29149,DG,Guarded
2210,North I,32.9119,73.68409,DG,Guarded
4491,Central III,30.96871,70.93474,DG,Guarded
N-4351,North I,33.63612,72.93853,Non DG,Guarded
