2G Site ID,Region,Latitude,Longitude,Final DG,Guarded/Unguarded
1261,South II,27.544997,68.21,DG,Guarded
8566,North II,33.38501,71.33881,DG,Guarded
1455,South III,27.80705,66.60438,DG,Guarded
7802,Central I,32.55986,74.0468,Non DG,Un Guarded
4945,Central III,29.76053,71.06308,Non DG,Un Guarded
9537,South I,24.951889,67.128907,DG,Guarded
8215,North I,33.63336,73.09493,Non DG,Un Guarded
1579,South II,26.25228,68.40605,Non DG,Un Guarded
1863,South III,27.72154,64.80779,DG,Guarded
1799,South III,28.90063,64.40127,Non DG,Un Guarded
6614,North II,33.13756,71.33966,DG,Guarded
7932,Central I,32.6604,73.79752,DG,Guarded
UKSR28,South III,30.81845,67.5734,DG,Un Guarded
2593,North I,33.00436,72.11074,DG,Guarded
1726,South II,25.21628,68.782092,DG,Guarded
5568,Central III,28.96286,70.36641,DG,Un Guarded
9400,South I,24.8811,67.0207,Non DG,Un Guarded
7633,Central I,31.58498,74.41782,DG,Un Guarded
6534,South I,24.74975043,67.92297077,Non DG,Un Guarded
8128,North I,33.62102,73.02513,DG,Un Guarded
1464,South III,25.11718,62.3264,Non DG,Un Guarded
PSHRNC01,North II,34.012063,71.566812,DG,Guarded
8542,North II,32.9055,70.72756,DG,Guarded
5434,Central III,29.07686,70.78785,Non DG,Un Guarded
7769,Central I,32.50511,74.51291,DG,Un Guarded
3579,Central I,31.03851,73.91416,Non DG,Un Guarded
2334,North II,32.6069,70.90589,DG,Guarded
4319,Central II,32.29037,72.27127,DG,Guarded
2461,North II,34.1749,71.98476,Non DG,Un Guarded
4528,Central II,30.65635,73.09939,DG,Un Guarded
4681,Central II,30.81439,72.49858,DG,Guarded
2916,North II,34.14744,71.73299,DG,Guarded
8896,North I,33.41077,73.9981,DG,Guarded
6536,South II,26.24274,68.39664,DG,Guarded
CII-2108,Central III,30.23761,71.88261,Non DG,Un Guarded
2636,North II,33.02366,70.62626,Non DG,Un Guarded
N-5863,North II,33.888,71.4369,Non DG,Un Guarded
CI-1005,Central I,31.38872,74.36179,Non DG,Un Guarded
N-5305,North I,33.55384,73.01592,Non DG,Un Guarded
N-5775,North II,33.02157,71.10224,Non DG,Un Guarded
S-7289,South II,28.64757,69.18901,Non DG,Un Guarded
S-7959,South I,24.85618,66.98272,Non DG,Un Guarded
S-7021,South III,29.551288,67.892462,Non DG,Un Guarded
S-4230,South I,24.93142,67.10676,Non DG,Un Guarded
S-7320,South I,24.866,67.0608,Non DG,Un Guarded
CI-1179,Central I,32.52439,74.50907,Non DG,Un Guarded
S-4240,South II,25.36932,68.32908,Non DG,Un Guarded
4660,Central III,30.04555,72.35666,DG,Guarded
2393,North II,34.74009,72.28277,DG,Guarded
PTCL Sheringle,North II,35.293054,72.018037,Non DG,Un Guarded
4898,Central III,29.68024,71.21966,Non DG,Guarded
KHI-CloudCG01,South I,24.88792,67.168161,DG,Guarded
5016,Central III,30.15876,71.4594,Non DG,Un Guarded
6079,South II,25.3677,68.3342,Non DG,Un Guarded
6562,South I,24.94366,67.05219,Non DG,Un Guarded
8882,North I,33.99388,72.94637,DG,Guarded
6003,South I,25.0069,67.05939,Non DG,Un Guarded
CI-1138,Central I,32.59723,73.49911,Non DG,Un Guarded
CII-2030,Central II,30.7993,73.44451,Non DG,Un Guarded
S-3127,South I,24.95147,66.96642,DG,Guarded
3563,Central I,31.12556,74.4555,DG,Guarded
6864,Central III,30.19275,71.47396,Non DG,Un Guarded
2193,North II,33.9356,71.47123,Non DG,Guarded
N-4331,North I,33.7269,73.1871,Non DG,Un Guarded
S-7867,South III,26.17979,66.8283,DG,Guarded
